align_results_201904222126.csvid,nama
1040,SEUNEUBOK MEUREUDU
1041,SEUNEUBOK TEUPIN PANAH
1042,TEUPIN PANAH
1043,GAMPONG KEUMUNENG
1044,KEUDE KEUMUNENG
1045,KEUMUNENG LHOK
1046,PAYA AWEE
1047,PAYA GABOH
1048,PADANG KASAH
1049,BUKET TEUKUH
1050,BUKET PU'UK
1051,BLANG MINJEI
1052,ALUE KUMBANG A
1053,ALUE KUMBANG M
1054,ALUE LHOK
1055,SEUNEUBOK BUYA
1056,SEUNEUBOK DRIEN
1057,BANTAYAN BARAT
1058,BLANG GUCI
1059,BUKET RUMIYA
1060,SEUNEUBOK PUNTI
1061,SEUNEUBOK JALAN
1062,SEUNEUBOK DALAM
1064,JALAN DUA
1065,JAMBO REUHAT
1066,SEUNEUBOK BENTENG
1067,SEUNEUBOK PANGOU
1068,SEUNEUBOK SIMPANG
1069,SEUNEUBOK KANDANG
1070,ULEE JALAN
1071,URAM JALAN
1072,SEUNEUBOK BAYU
1073,BLANG RAMBONG
1074,BUKET DRIEN
1075,PANTON RAYEUK A
1076,PANTON RAYEUK B
1077,PANTON RAYEUK M
1078,PANTON RAYEUK T
1079,PAYA LAMAN
1081,GAMPONG KEUDE
1082,MEUNASAH KRUENG
1083,KUTA BARO
1084,ALUE BATEE
1085,MATANG RAYEUK
1086,PAYA BILI DUA
1087,ALUE IE ITAM
1088,ASAN RAMPAK
1089,GAMPONG KUALA
1090,PAYA DUA
1091,SEUNEUBOK TEUNGOH
1092,BUKET KUTA
1093,SAMA DUA
1094,BLANG KUTA
1095,BLANG BUKET
1096,SEUNEUBOK PEUNTEUT
1097,PAYA BILI SA
1099,BABAH KRUENG
1100,KRUET LINTANG
1101,JEUNGKI
1102,BUKIT MEURIAM
1103,ALUE GUREP
1104,SEUNEUBOK TEUPIN
1105,SEUNEUBOK TEUNGOH
1106,ALUE BUGENG
1107,SEUNEUBOK PUNTI
1108,SEUMATANG KEUDE
1109,SEUNEUBOK JALAN
1110,SEUNEUBOK PAYA
1111,ALUE THO
1112,SEUNEUBOK RAWANG
1113,ALUE BU ALUE NIREH
1114,SEUNEUBOK DALAM
1115,SEUNEUBOK LAPANG
1116,GEULANGGANG MEURAK
1117,ALUE BU ALUE LHOK
1118,TUALANG PATENG
1120,BEUSA SEBERANG
1121,MON GEUDONG
1122,PAYA SEUNGAT
1123,TEUMPEUN
1124,ALUE BU TUHA
1125,ALUE BU JALAN
1126,TANJUNG TUALANG
1127,BEURINGIN
1128,KEBUN TEUMPEUN
1129,PAYA GAJAH
1130,KABU
1131,PAYA BIEK
1132,BEUSA BAROH
1133,ALUE BU JALAN BAROH
1134,ALUE BU TUNONG
1136,ALUE RANGAN
1137,GEULUMPANG PAYONG
1138,LABUHAN KEUDE
1139,BUKIT SELAMAT
1140,BUKIT DRIEN
1141,ALUE ITAM
1142,PAYA KEUTAPANG
1143,GAJAH MENTAH
1144,SEUNEUBOK PASE
1145,SEUNEUBOK ACEH
1146,KRUENG LINGKA
1147,SUNGAI SIMPANG
1148,KUALA PAREK
1150,SIMPANG JERNIH
